id,auditId,auditDate,auditSchoolType,auditAuditorName,auditWeatherConditions,auditHasRamps,auditHasDoors,auditHasToilets,auditHasFurniture,schoolId,schoolSn,schoolLgea,schoolName,schoolAddress,rampCompositeScore,rampComplianceLevel,doorCompositeScore,doorComplianceLevel,toiletCompositeScore,toiletComplianceLevel,furnitureCompositeScore,furnitureComplianceLevel,overallScore,overallCompliance,keyBarriers
cmr5xbifs0066sityx18oy0w4,cmr5xbifs0061sityqdgdwm0d,2026-07-03,Mainstream Elementary,Field Researcher,Heavy Rain,Yes,Yes,Yes,Yes,cmr3lrv2f000gsr3ochaift84,17,IKORODU,"U. P. E. PRIMARY SCHOOL, AJAGURO","COLE VILLAGE, AJAGURO, IKORODU",66.0,PC,66.0,PC,45.0,NC,46.0,NC,55.75,PC,There were no barriers during the audit
cmr5xbifx006isityp9fmgf8u,cmr5xbifx0068sity3ynj5s9p,2026-07-03,Mainstream Elementary,Field Researcher,Sunny,Yes,Yes,Yes,Yes,cmr3lrv200007sr3o12vnpkt7,8,BADAGRY,ANG. PRIMARY SCHOOL ARADAGUN/MOSAFEJO,ALONG IWORO AJIDO ROAD ARADAGUN MOSAFEJO,46.0,NC,61.67,PC,24.0,NC,53.67,PC,46.34,NC,
cmr5xbig1006psityaveiboxb,cmr5xbig1006ksitydnz7bbdg,2026-07-03,Mainstream Elementary,Field Researcher,Light Rain,Yes,Yes,Yes,Yes,cmr3lrv2d000fsr3o06ett9r3,16,IKORODU,"C & S PRIMARY SCHOOL I, MAJIDUN","LAGOS/IKORODU ROAD, MAJIDUN",59.0,PC,40.0,NC,24.0,NC,46.0,NC,42.25,NC,
cmr5xbig5006ysityc9jyivys,cmr5xbig5006rsitynnddnz3q,2026-07-03,Mainstream Elementary,Field Researcher,Hot/Humid,No,Yes,Yes,Yes,cmr3lrv230009sr3o6hu1qfok,10,BADAGRY,"L.A. PRIMARY SCHOOL, APA",ALONG OWODE APA ROAD APA TOWN,0.0,NC,45.5,NC,24.0,NC,47.33,NC,29.21,NC,
cmr5xbig9007asitycz779ng7,cmr5xbig90070sityqadavrk2,2026-07-03,Mainstream Elementary,Field Researcher,Partly Cloudy,No,Yes,Yes,Yes,cmr3lrv220008sr3oxz5rw1hq,9,BADAGRY,"A.D.S. PRIMARY SCHOOL, BADAGRY",ALONG GENERAL HOSPITAL ROAD BADAGRY,0.0,NC,30.67,NC,20.0,NC,49.33,NC,25.0,NC,"The major barrier is no door present. 
Major classrooms had door but no hardware or type of lock were identified. "
cmr93ncul002bwi09gf9vz923,cmr93mtnk001pwi09ymqrk0a0,2026-07-06,Mainstream Elementary,Field Researcher,,No,Yes,Yes,Yes,cmr3lrv46000vsr3o2cksm6ee,32,MUSHIN,AINA SOGUNRO PRIMARY SCHOOL,13 ATUNRASE S/LERE MUSIN,0.0,NC,65.0,PC,38.0,NC,72.0,PC,43.75,NC,"There are no ramps at the entrance to support universal design principle.
There are no urinals in the male cubicle.
WCs seating on a 2 stepped floor (460mm) above the finished floor level of the cubicle will not be comfortable for students with physical inabiblities to use without needing any assistance."
cmr93qy1q002zwi09ihwg2aq7,cmr93qptk002rwi098j6rw91p,2026-07-06,Mainstream Elementary,Field Researcher,Partly Cloudy,No,Yes,Yes,Yes,cmr3lrv3r000ksr3oc9i3tr0i,21,KOSOFE,"EXPRESSWAY NURSERY & PRIMARY SCHOOL 1, IKOSI KETU","IKOSI ROAD, KETU",0.0,NC,46.0,NC,24.0,NC,32.0,NC,25.5,NC,No barriers found during audit
cmr97860t00u7wi090llpkx7j,cmr977xwp00tvwi09rpfnuek2,2026-07-06,Mainstream Elementary,Field Researcher,,No,Yes,No,Yes,cmr3lrv45000usr3olc95ny1e,31,MUSHIN,ST. JUDE'S PRIMARY SCHOOL,22/28 ILASAMAJA RD MUSIN,0.0,NC,72.0,PC,0.0,NC,76.67,PC,37.17,NC,"1) There are no ramps to access the school building.
2) absence of toilets for students (both male and female).
"
cmr97naoe00uzwi09jy2h2ovz,cmr97mvjq00upwi096vmt5c3k,2026-07-06,Special Needs School/Unit,Field Researcher,Partly Cloudy,Yes,Yes,Yes,Yes,cmr3lrv3s000lsr3ovji06w02,22,KOSOFE,"MARYLAND NURSERY & PRIMARY SCHOOL, MARYLAND",MARYLAND SCHOOL COMPLEX MARYLAND,66.0,PC,46.0,NC,24.0,NC,46.0,NC,45.5,NC,The building structures are not well zoned and 
cmraeotsv000txt099x0xey94,cmraeobau000dxt09bdun7m47,2026-07-07,Mainstream Elementary,Field Researcher,Cool/Breezy,No,Yes,Yes,Yes,cmr3lrv4a000ysr3oavkw80pj,35,OJO,"L. A. NUR & PRY SCHOOL, IBA",IBA TOWN ALONG IPAJA ROAD,0.0,NC,83.67,FC,24.0,NC,56.0,PC,40.92,NC,
