sourceFile,exportedFile,schoolId,schoolSn,schoolLgea,schoolName,interviewId,interviewType,participantPseudonym,interviewDate,responseText,fieldNotes
cmraknwp00001l8041a7xztof_interview_2026-07-07T11-35-02-673Z_3aeeee019af4b6a9.webm,24_LAGOS_ISLAND_EREKO_METHODIST_PRIMARY_SCHOOL_Teacher_T77-1230.webm,cmr3lrv3v000nsr3o28j55nkd,24,LAGOS ISLAND,EREKO METHODIST PRIMARY SCHOOL,cmraknxxq0001k304fjye6093,Teacher,T77-1230,2026-07-07,interview_2026-07-07T11-35-02-673Z_3aeeee019af4b6a9.webm,Recording available
cmral1l8m0001l104319c4hr5_interview_2026-07-07T11-45-40-903Z_a2406b3550c08cf0.webm,24_LAGOS_ISLAND_EREKO_METHODIST_PRIMARY_SCHOOL_Teacher_T77-1236.webm,cmr3lrv3v000nsr3o28j55nkd,24,LAGOS ISLAND,EREKO METHODIST PRIMARY SCHOOL,cmral1nn00001ju04vm1zk9lr,Teacher,T77-1236,2026-07-07,interview_2026-07-07T11-45-40-903Z_a2406b3550c08cf0.webm,Recording available
cmralvp710001l804nwneus42_interview_2026-07-07T12-09-05-714Z_4ab6d99e1b3aa71e.webm,28_LAGOS_MAINLAND_MODUPE_COLE_MEM._CHILD_CARE_TREATMENT_HOME_SCHOOL_Teacher_T77-1257.webm,cmr3lrv41000rsr3ojwvlje4t,28,LAGOS MAINLAND,MODUPE COLE MEM. CHILD CARE & TREATMENT HOME SCHOOL,cmralvr2b0001l104h6frtr43,Teacher,T77-1257,2026-07-07,interview_2026-07-07T12-09-05-714Z_4ab6d99e1b3aa71e.webm,Recording available
cmram2l970003l804e5b5alxe_interview_2026-07-07T12-14-27-342Z_3ff52ca0bcc27ba5.webm,4_ALIMOSHO_ABATI_PRY_SCHOOL_ABATI_Administrator_A77-1308.webm,cmr3lrv1u0003sr3o0q26ynnr,4,ALIMOSHO,"ABATI PRY SCHOOL, ABATI",cmram2n2x000jl104anewib2r,Administrator,A77-1308,2026-07-07,interview_2026-07-07T12-14-27-342Z_3ff52ca0bcc27ba5.webm,Recording available
cmram59y20005l8048mka232u_interview_2026-07-07T12-16-32-657Z_1147329c3e099840.webm,28_LAGOS_MAINLAND_MODUPE_COLE_MEM._CHILD_CARE_TREATMENT_HOME_SCHOOL_Teacher_T77-1309.webm,cmr3lrv41000rsr3ojwvlje4t,28,LAGOS MAINLAND,MODUPE COLE MEM. CHILD CARE & TREATMENT HOME SCHOOL,cmram5cqp0001k00407ngat7r,Teacher,T77-1309,2026-07-07,interview_2026-07-07T12-16-32-657Z_1147329c3e099840.webm,Recording available
cmramk7uo0001ld048y0gtvrs_interview_2026-07-07T12-28-09-631Z_51949dcf4e955512.webm,36_OJO_AGANJU_AKA_NUR_PRY_SCHOOL_II_OKOKOMAIKO_Administrator_A77-1310.webm,cmr3lrv4b000zsr3olgtwnaci,36,OJO,"AGANJU AKA NUR & PRY SCHOOL II, OKOKOMAIKO",cmramk99w0001la04xlk188i2,Administrator,A77-1310,2026-07-07,interview_2026-07-07T12-28-09-631Z_51949dcf4e955512.webm,Recording available
cmrammvjp0001l204qwt2typm_interview_2026-07-07T12-30-13-655Z_f5edae8ae0f646fa.webm,23_LAGOS_ISLAND_HOLY_CROSS_CATHOLIC_PRIMARY_SCHOOL_Administrator_A77-1321.webm,cmr3lrv3u000msr3ojdm55r8v,23,LAGOS ISLAND,HOLY CROSS CATHOLIC PRIMARY SCHOOL,cmrammxuw000jjo04bdtf1eid,Administrator,A77-1321,2026-07-07,interview_2026-07-07T12-30-13-655Z_f5edae8ae0f646fa.webm,Recording available
cmramosak0003l204n3vij6v3_interview_2026-07-07T12-31-42-894Z_68c5f19bbf351518.webm,28_LAGOS_MAINLAND_MODUPE_COLE_MEM._CHILD_CARE_TREATMENT_HOME_SCHOOL_Administrator_A77-1317.webm,cmr3lrv41000rsr3ojwvlje4t,28,LAGOS MAINLAND,MODUPE COLE MEM. CHILD CARE & TREATMENT HOME SCHOOL,cmramov75000lk0047w7e8kcz,Administrator,A77-1317,2026-07-07,interview_2026-07-07T12-31-42-894Z_68c5f19bbf351518.webm,Recording available
cmramvs6s0001jy04zj6izr1l_interview_2026-07-07T12-37-09-310Z_468ea862f882348b.webm,8_BADAGRY_ANG._PRIMARY_SCHOOL_ARADAGUN_MOSAFEJO_Administrator_A77-1332.webm,cmr3lrv200007sr3o12vnpkt7,8,BADAGRY,ANG. PRIMARY SCHOOL ARADAGUN/MOSAFEJO,cmramvuxz0005jr04d5adhhl9,Administrator,A77-1332,2026-07-07,interview_2026-07-07T12-37-09-310Z_468ea862f882348b.webm,Recording available
cmramzr8a0001kw048as0ztxs_interview_2026-07-07T12-40-14-602Z_512bc7528b306649.webm,4_ALIMOSHO_ABATI_PRY_SCHOOL_ABATI_Teacher_T77-1316.webm,cmr3lrv1u0003sr3o0q26ynnr,4,ALIMOSHO,"ABATI PRY SCHOOL, ABATI",cmramzsez0013k0047a3zk0lp,Teacher,T77-1316,2026-07-07,interview_2026-07-07T12-40-14-602Z_512bc7528b306649.webm,Recording available
cmran67wt0003kw04oxvn6m9a_interview_2026-07-07T12-45-16-284Z_6940ea23ace87452.webm,28_LAGOS_MAINLAND_MODUPE_COLE_MEM._CHILD_CARE_TREATMENT_HOME_SCHOOL_Pupil_P77-1331.webm,cmr3lrv41000rsr3ojwvlje4t,28,LAGOS MAINLAND,MODUPE COLE MEM. CHILD CARE & TREATMENT HOME SCHOOL,cmran69iq0003kz04nzaxsqt5,Pupil,P77-1331,2026-07-07,interview_2026-07-07T12-45-16-284Z_6940ea23ace87452.webm,Recording available
